AffairShortId,AffairTitle,VoteDate,VoteMeaningYes,VoteMeaningNo
20160027,Loi sur les étrangers. Gestion de I‘immigration et amélioration de la mise en oeuvre des accords sur la libre circulation des personnes,Dec 12 2016,Antrag der Mehrheit,Antrag der Minderheit IX Pfister Gerhard
20160027,Loi sur les étrangers. Gestion de I‘immigration et amélioration de la mise en oeuvre des accords sur la libre circulation des personnes,Dec 16 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160027,Loi sur les étrangers. Gestion de I‘immigration et amélioration de la mise en oeuvre des accords sur la libre circulation des personnes,Sep 21 2016,Zustimmung zum Antrag Pfister Gerhard,Ablehnung des Antrages
20160027,Loi sur les étrangers. Gestion de I‘immigration et amélioration de la mise en oeuvre des accords sur la libre circulation des personnes,Sep 21 2016,bereinigtes Konzept der Mehrheit,bereinigtes Konzept des Bundesrates
20160027,Loi sur les étrangers. Gestion de I‘immigration et amélioration de la mise en oeuvre des accords sur la libre circulation des personnes,Sep 21 2016,Antrag der Minderheit I Addor,Antrag der Minderheit II Rutz Gregor
20160027,Loi sur les étrangers. Gestion de I‘immigration et amélioration de la mise en oeuvre des accords sur la libre circulation des personnes,Sep 21 2016,Antrag der Mehrheit,Antrag der Minderheit II Rutz Gregor
20160027,Loi sur les étrangers. Gestion de I‘immigration et amélioration de la mise en oeuvre des accords sur la libre circulation des personnes,Sep 21 2016,bereinigtes Konzept der Mehrheit (bei Art.  17a-17f),Antrag der Minderheit III Glarner
20160027,Loi sur les étrangers. Gestion de I‘immigration et amélioration de la mise en oeuvre des accords sur la libre circulation des personnes,Sep 21 2016,Antrag der Mehrheit,Antrag der Minderheit Rutz Gregor
20160027,Loi sur les étrangers. Gestion de I‘immigration et amélioration de la mise en oeuvre des accords sur la libre circulation des personnes,Sep 21 2016,bereinigtes Konzept der Mehrheit (bei Art. Art. 17a-17f),Antrag der Minderheit Addor
20160027,Loi sur les étrangers. Gestion de I‘immigration et amélioration de la mise en oeuvre des accords sur la libre circulation des personnes,Sep 21 2016,Antrag der Mehrheit,Antrag der Minderheit Jauslin (gemäss Bundesrat)
20160027,Loi sur les étrangers. Gestion de I‘immigration et amélioration de la mise en oeuvre des accords sur la libre circulation des personnes,Dec 12 2016,Antrag der Mehrheit,Antrag der Minderheit IV Rickli Natalie
20160027,Loi sur les étrangers. Gestion de I‘immigration et amélioration de la mise en oeuvre des accords sur la libre circulation des personnes,Dec 12 2016,Antrag der Mehrheit,Antrag der Minderheit III Burgherr
20160028,Accord sur la libre circulation. Extension à la Croatie,Jun 14 2016,"Antrag der Mehrheit (=Festhalten, gemäss BR)",Antrag der Minderheit I Naef / Minderheit II Nidegger
20160028,Accord sur la libre circulation. Extension à la Croatie,Jun 17 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160028,Accord sur la libre circulation. Extension à la Croatie,Apr 26 2016,Antrag der Mehrheit (Eintreten),Antrag der Minderheit Köppel (Nichteintreten)
20160028,Accord sur la libre circulation. Extension à la Croatie,Apr 26 2016,Antrag der Mehrheit,Antrag der Minderheit Riklin Kathy / Friedl
20160028,Accord sur la libre circulation. Extension à la Croatie,Apr 26 2016,Antrag der Mehrheit,Antrag der Minderheit Reimann Maximilian
20160028,Accord sur la libre circulation. Extension à la Croatie,Apr 26 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160028,Accord sur la libre circulation. Extension à la Croatie,Apr 26 2016,Antrag der Mehrheit,Antrag der Minderheit Sommaruga Carlo
20160028,Accord sur la libre circulation. Extension à la Croatie,Jun 08 2016,Antrag der Mehrheit,Antrag der Minderheit I Reimann Maximilian
20160028,Accord sur la libre circulation. Extension à la Croatie,Jun 08 2016,Antrag der Minderheit I Reimann Maximilian,Antrag der Minderheit II Schneider-Schneiter 
20160028,Accord sur la libre circulation. Extension à la Croatie,Jun 14 2016,Antrag der Minderheit I Naef (=gemäss SR),Antrag der Minderheit II Nidegger (=gemäss SR vom 2.6.16)
20160030,Protocole du traité sur l’Antarctique relatif à la protection de l’environnement et ses annexes I à V. Approbation,Sep 13 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160030,Protocole du traité sur l’Antarctique relatif à la protection de l’environnement et ses annexes I à V. Approbation,Dec 16 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160031,Imposition des immeubles agricoles et sylvicoles. Loi,Jun 14 2017,Antrag der Kommission (nicht eintreten),Antrag Grin (eintreten)
20160031,Imposition des immeubles agricoles et sylvicoles. Loi,Apr 27 2016,Antrag der Mehrheit (Eintreten),Antrag der Minderheit Bertschy (Nichteintreten)
20160031,Imposition des immeubles agricoles et sylvicoles. Loi,Apr 27 2016,Antrag der Mehrheit,Antrag der Minderheit Jans (streichen)
20160031,Imposition des immeubles agricoles et sylvicoles. Loi,Apr 27 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160032,Echange de renseignements en matière fiscale. Accord avec le Brésil,Sep 22 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160032,Echange de renseignements en matière fiscale. Accord avec le Brésil,Sep 22 2016,Antrag der Mehrheit (Eintreten),Antrag der Minderheit Matter (Nichteintreten)
20160032,Echange de renseignements en matière fiscale. Accord avec le Brésil,Dec 16 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160033,Loi sur l'alcool. Révision partielle,Sep 30 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160033,Loi sur l'alcool. Révision partielle,Jun 14 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160035,Transformation et extension des réseaux électriques. Loi,May 29 2017,Antrag der Mehrheit,Antrag der Minderheit III Imark
20160035,Transformation et extension des réseaux électriques. Loi,Dec 06 2017,Proposition de la majorité (streichen),Proposition de la minorité Nussbaumer 
20160035,Transformation et extension des réseaux électriques. Loi,May 30 2017,Annahme der Vorlage,Ablehnung der Vorlage
20160035,Transformation et extension des réseaux électriques. Loi,May 30 2017,Zustimmung zum Antrag Nantermod,Ablehnung des Antrages
20160035,Transformation et extension des réseaux électriques. Loi,May 30 2017,Antrag der Mehrheit,Antrag der Minderheit Genecand
20160035,Transformation et extension des réseaux électriques. Loi,May 30 2017,Antrag der Mehrheit,Antrag der Minderheit Imark
20160035,Transformation et extension des réseaux électriques. Loi,May 30 2017,Antrag der Mehrheit,Antrag der Minderheit Grunder
20160035,Transformation et extension des réseaux électriques. Loi,May 30 2017,Zustimmung zur Rückweisung der Vorlage 2,Ablehnung der Rückweisung der Vorlage 2
20160035,Transformation et extension des réseaux électriques. Loi,May 30 2017,Eintreten auf die Vorlage 2,Nichteintreten auf die Vorlage 2
20160035,Transformation et extension des réseaux électriques. Loi,May 30 2017,Zustimmung zum Antrag Wasserfallen (streichen),Ablehnung des Antrages Wasserfallen (nicht streichen)
20160035,Transformation et extension des réseaux électriques. Loi,May 29 2017,Antrag der Mehrheit,Antrag der Minderheit Semadeni
20160035,Transformation et extension des réseaux électriques. Loi,May 29 2017,Antrag der Kommission,Antrag Guhl
20160035,Transformation et extension des réseaux électriques. Loi,May 29 2017,Antrag der Mehrheit,Antrag der Minderheit Girod
20160035,Transformation et extension des réseaux électriques. Loi,May 29 2017,Antrag der Minderheit II Semadeni,Antrag der Minderheit III Imark
20160035,Transformation et extension des réseaux électriques. Loi,May 29 2017,Antrag der Mehrheit,Antrag der Minderheit I Imark
20160035,Transformation et extension des réseaux électriques. Loi,May 29 2017,Antrag der Mehrheit,Antrag der Minderheit Wasserfallen
20160035,Transformation et extension des réseaux électriques. Loi,May 29 2017,Antrag der Mehrheit,Antrag der Minderheit Knecht
20160035,Transformation et extension des réseaux électriques. Loi,May 29 2017,Antrag der Mehrheit,Antrag der Minderheit Bäumle
20160035,Transformation et extension des réseaux électriques. Loi,Dec 13 2017,Proposition de la majorité (adopter la proposition de la Conférence de conciliation),Proposition de la minorité Imark (rejeter la proposition de la Conférence de conciliation)
20160035,Transformation et extension des réseaux électriques. Loi,Dec 15 2017,Adopter le projet,Rejeter le projet
20160036,FIPOI. Aide financière au CICR à Genève,Dec 05 2016,Zustimmung zum Art. 1 nach der Regel über die Ausgabenbremse,Ablehnung des Artikels
20160036,FIPOI. Aide financière au CICR à Genève,Dec 05 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160037,Convention des Nations Unies sur la transparence,Dec 16 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160037,Convention des Nations Unies sur la transparence,Sep 27 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160038,Moyens financiers destinés à l'agriculture pour les années 2018-2021,Sep 15 2016,Antrag der Mehrheit,Antrag der Minderheiten Bertschy und Maire
20160038,Moyens financiers destinés à l'agriculture pour les années 2018-2021,Mar 07 2017,Antrag der Mehrheit (= Ständerat),Antrag der Minderheit Berstschy (=gemäss Bundesrat)
20160038,Moyens financiers destinés à l'agriculture pour les années 2018-2021,Sep 15 2016,Antrag der Mehrheit der WAK und FK,Antrag der Minderheiten Bertschy und Maire
20160038,Moyens financiers destinés à l'agriculture pour les années 2018-2021,Sep 15 2016,Zustimmung,Ablehnung
20160038,Moyens financiers destinés à l'agriculture pour les années 2018-2021,Sep 15 2016,Annahme der Vorlage,Ablehnung
20160039,Mesures douanières. Accord avec la Norvège,Dec 16 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160039,Mesures douanières. Accord avec la Norvège,Sep 22 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160040,Financement de l'infrastructure ferroviaire suisse pour les années 2017-2020,Dec 06 2016,Zustimmung zum Art. 1 nach dfer regel über die Ausgabenbremse,Ablehnung des Artikels
20160040,Financement de l'infrastructure ferroviaire suisse pour les années 2017-2020,Dec 06 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit,Antrag der Minderheit Weibel (gemäss Bundesrat)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit,Antrag der Minderheit Weibel (gemäss Budesrat)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit,Antrag der Minderheit Keller (gemäss Bundesrat)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit,Antrag der Minderheit Keller Peter (gemäss Bundesrat)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit II Keller Peter
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit ICarobbio Guscetti
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit,Antrag der Minderheit I Hadorn (gemäss Bundesrat)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit,Antrag der Minderheit Gmür Alois (gemäss Bundesrat)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit Bigler
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit Meyer Mattea
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit,Antrag der Minderheit Aechi Thomas (gemäss Bundesrat)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit,Antrag der Minderheit II Aeschi Thomas
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit II Schwander
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit,Antrag der Minderheit I Meyer Mattea
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Mehrheit,Antrag der Minderheit Weibel (gemäss Bundesrat)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Mehrheit,Antrag der Minderheit Bigler (gemäss Bundesrat)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit Aeschi Thomas
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Mehrheit/ Antrag der Minderheit der SiK (Glättli) (gemäss Bundesrat),Antrag der Minderheit I Gasche / Antrag der mehrheit der SiK
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Mehrheit/Antrag der Minderheit der SiK (Glättli) (gemäss Bundesrat),Antrag der Minderheit II Meyer Mattea
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Mehrheit / Antrag der Minderheit der SiK (Glättli) (gemäss Bundesrat),Antrag der Minderheit I Gasche / Antrag der Mehrheit der SiK / Antrag Amstutz
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Minderheit I Gasche/Mehrheit der SiK /Antrag Amstutz,Antrag der Minderheit II Meyer Mattea
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit Meyer Mattea
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit Amarelle
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit Brélaz
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit Kiener Nellen
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit Minderheit Bigler
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit I Carobbio Guscetti
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Nov 30 2016,Antrag der Mehrheit,Antrag der Minderheit II Hadorn (gemäss Bundesrat)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit I Aeschi Thomas
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 15 2016,Antrag der Mehrheit,Antrag der Minderheit Hadorn (Ablehnung des Antrages der Einigungskonferenz)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit III Schwander
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit Carobbio Guscetti
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit Weibel
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,,
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit Aeschi Thomas
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Zustimmung zum Art. 7 nach der Regel über die Ausgabenbremse,Ablehnung des Artikels
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Zustimmung zum Art. 9 nach der Regel über die Ausgabenbremse,Ablehnung des Artikels
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit Gmür Alois
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 13 2016,Antrag der Mehrheit (gem BR),Antrag der Minderheit Quandranti (gem SR)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 13 2016,Antrag der Mehrheit (gem BR),Antrag der Minderheit Meyer Mattea (gem SR)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 13 2016,Antrag der Mehrheit,Antrag der Minderheit Meyer Mattea (gem BR und SR)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 13 2016,Antrag der Mehrheit,Antrag der Minderheit Weibel (gem BR und SR)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 13 2016,Antrag der Mehrheit,Antrag der Minderheit Hadorn (gem BR und SR)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit Hausammann
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 15 2016,Antrag der Mehrheit ,Antrag der Minderheit Vitali (Ablehnung des Antrags der Einigungskonferenz)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit Hadorn
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit II Aeschi Thomas
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 13 2016,Antrag der Mehrheit,Antrag der Minderheit I Hadorn (gem BR und SR)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit Amarelle
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit Hadorn 
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 07 2016,Antrag der Mehrheit,Antrag der Minderheit I Hadorn
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Zustimmung zum Art. 7 nach der Regel über die Ausgabenbremse,Ablehnung des Artikels
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Zustimmung zum Antrag Aeschi Thomas,Ablehnung des Antrages
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Mehrheit,Antrag der Minderheit Gmür Alois (gemäss Bundesrat)
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit Bigler 
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit Carobbio Guscetti
20160041,Budget 2017 assorti du plan intégré des tâches et des finances 2018-2020,Dec 01 2016,Zustimmung zum Art. 9 nach der Regel über die Ausgabenbremse,Ablehnung des Artikels
20160042,Budget 2016. Supplément II,Dec 01 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160044,Préservation de la valeur de Polycom. Crédit d’ensemble,Sep 20 2016,Zustimmung zum Art. 1 nach der Regel über die Ausgabenbremse,Ablehnung des Artikels
20160044,Préservation de la valeur de Polycom. Crédit d’ensemble,Sep 20 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Mehrheit,Antrag der Minderheit I Gmür Alois (gemäss BR)
20160045,Programme de stabilisation 2017-2019,Dec 11 2017,Proposition de la commission (Ne pas entrer en matière),Proposition de la minorité Fehlmann Rielle (Entrer en matière) 
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Mehrheit (Eintreten),Antrag der Minderheit Hadorn (Nichteintreten)
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Mehrheit (keine Rückweisung),Antrag der Minderheit Meyer Mattea (Rückweisung an den Bundesrat)
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Minderheit I Gmür Alois,Antrag der Minderheit II Meyer Mattea
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Minderheit I Quadranti (gemäss SR/BR),Antrag der Minderheit III Sollberger
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Minderheit II Meyer Mattea,Antrag Amherd
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag Amherd,Antrag der Minderheit I Gmür Alois (gemäss SR)
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Minderheit I Gmür Alois,Antrag des Bundesrates
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag des Bundesrates,Antrag der Mehrheit
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Mehrheit,Antrag der Minderheit III Sollberger
20160045,Programme de stabilisation 2017-2019,Mar 14 2017,Antrag der Mehrheit,Antrag der Minderheit Gschwind
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Minderheit I Quadranti,Antrag der Mehrheit
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Minderheit I Quadranti,Antrag der Minderheit II Keller Peter
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit Quadranti
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Mehrheit und der Minderheit II Meyer Mattea,Antrag der Minderheit I Gmür Alois (gemäss BR)
20160045,Programme de stabilisation 2017-2019,Mar 14 2017,Antrag der Mehrheit ,Antrag der Minderheit Gschwind
20160045,Programme de stabilisation 2017-2019,Mar 17 2017,Annahme der Vorlage,Ablehnung der Vorlage
20160045,Programme de stabilisation 2017-2019,Feb 27 2017,Antrag der Mehrheit,Antrag der Minderheit Maire Jacques-André
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit Schmidt Roberto (gemäss Ständerat)
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Mehrheit,Antrag der Minderheit Carobbio Guscetti (gemäss SR/BR)
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Mehrheit,Antrag der Minderheit Keller Peter (gemäss Bundesrat)
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Mehrheit,Antrag der Minderheit Weibel (gemäss Bundesrat)
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Mehrheit,Antrag der Minderheit Schmidt Roberto (gemäss Bundesrat)
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,Antrag der Mehrheit (aufheben),Antrag der Minderheit Weibel (gemäss geltendem Recht)
20160045,Programme de stabilisation 2017-2019,Nov 29 2016,dafür ,dagegen
20160045,Programme de stabilisation 2017-2019,Nov 30 2016,Antrag der Mehrheit (gemäss SR/BR),Antrag der Minderheit Maire Jacques-André
20160045,Programme de stabilisation 2017-2019,Nov 30 2016,Antrag der Mehrheit,Antrag der Minderheit Amarelle (streichen)
20160045,Programme de stabilisation 2017-2019,Nov 30 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit Carobbio Guscetti (streichen)
20160045,Programme de stabilisation 2017-2019,Nov 30 2016,Antrag der Mehrheit,Antrag der Minderheit II Aeschi Thomas
20160045,Programme de stabilisation 2017-2019,Nov 30 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160045,Programme de stabilisation 2017-2019,Nov 30 2016,Antrag der Kommission (abschreiben),Antrag Wasserfallen (nicht abschreiben)
20160045,Programme de stabilisation 2017-2019,Feb 27 2017,Antrag der Mehrheit,Antrag der Minderheit Hadorn
20160045,Programme de stabilisation 2017-2019,Feb 27 2017,Antrag der Mehrheit,Antrag der Minderheit Amman (übernommen durch Gmür Alois)
20160045,Programme de stabilisation 2017-2019,Nov 30 2016,Antrag der Mehrheit (gemäss SR/BR),Antrag der Minderheit Hadorn
20160045,Programme de stabilisation 2017-2019,Feb 27 2017,Antrag der Mehrheit,Antrag der Minderheit Gschwind
20160046,Message 2016 sur les immeubles du DFF,Dec 13 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160046,Message 2016 sur les immeubles du DFF,Dec 13 2016,Zustimmung zu Art. 2,Ablehnung
20160048,CP et CPM. Mise en oeuvre de l’art. 123c Cst.,Dec 04 2017,Proposition de la majorité,Proposition de la minorité I Tschäppät (selon CF)
20160048,CP et CPM. Mise en oeuvre de l’art. 123c Cst.,Dec 04 2017,Proposition de la majorité (selon CF),Proposition de la minorité Arslan (selon CE)
20160048,CP et CPM. Mise en oeuvre de l’art. 123c Cst.,Dec 04 2017,Proposition de la majorité (selon CE et CF),Proposition de la minorité Guhl 
20160048,CP et CPM. Mise en oeuvre de l’art. 123c Cst.,Dec 04 2017,Proposition de la majorité (selon CE),Proposition de la minorité Rickli Natalie (selon CF)
20160048,CP et CPM. Mise en oeuvre de l’art. 123c Cst.,Dec 04 2017,Proposition de la majorité (selon CE),Proposition de la minorité Guhl
20160048,CP et CPM. Mise en oeuvre de l’art. 123c Cst.,Dec 04 2017,Proposition de la majorité (selon CE),Proposition de la minorité Rickli Natalie 
20160048,CP et CPM. Mise en oeuvre de l’art. 123c Cst.,Dec 04 2017,Proposition de la majorité (selon CF),Proposition de la minorité Rickli Natalie (biffer)
20160048,CP et CPM. Mise en oeuvre de l’art. 123c Cst.,Dec 04 2017,Proposition de la majorité,Proposition de la minorité II Bauer
20160048,CP et CPM. Mise en oeuvre de l’art. 123c Cst.,Dec 04 2017,Proposition de la commission,Proposition Nidegger
20160048,CP et CPM. Mise en oeuvre de l’art. 123c Cst.,Dec 04 2017,Adopter le projet,Rejeter le projet
20160048,CP et CPM. Mise en oeuvre de l’art. 123c Cst.,Mar 07 2018,Proposition de la majorité (selon CE),Proposition de la minorité Markwalder (maintenir)
20160048,CP et CPM. Mise en oeuvre de l’art. 123c Cst.,Mar 16 2018,Adopter le projet,Rejeter le projet
20160049,Développement de l’acquis de Schengen. Création du Fonds pour la sécurité intérieure,Dec 12 2016,Antrag der Mehrheit (Eintreten),Antrag der Minderheit Amstutz (Nichteintreten)
20160049,Développement de l’acquis de Schengen. Création du Fonds pour la sécurité intérieure,Dec 16 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160049,Développement de l’acquis de Schengen. Création du Fonds pour la sécurité intérieure,Dec 12 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160051,Loi sur l’imposition du tabac. Modification,Dec 14 2016,Antrag der Mehrheit,Antrag der Minderheit Schelbert
20160051,Loi sur l’imposition du tabac. Modification,Dec 14 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160051,Loi sur l’imposition du tabac. Modification,Mar 17 2017,Annahme der Vorlage,Ablehnung der Vorlage
20160052,LHID. Modification,Mar 17 2017,Annahme der Vorlage,Ablehnung der Vorlage
20160052,LHID. Modification,Dec 15 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160053,Nouveau régime financier 2021,Dec 15 2016,Annahme der Vorlage,Ablehnung der Vorlage
20160053,Nouveau régime financier 2021,Dec 15 2016,Antrag der Mehrheit (gemäss Bundesrat),Antrag der Minderheit I Amaudruz
20160053,Nouveau régime financier 2021,Dec 15 2016,Antrag der Mehrheit,Antrag der Minderheit II Birrer-Heimo
